--------- beginning of system
11-09 01:42:12.516  7447 14782 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.livegame.wallpapermingche at: Binary XML file line #105
11-09 01:42:13.268  1460  1460 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-09 01:42:13.268  1460  1460 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-09 01:42:13.271  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-09 01:42:13.272  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-09 01:42:13.287  1460  1693 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 01:42:13.307  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:13.311  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A4E
11-09 01:42:13.338  7447 14840 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.341  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.344  1460  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~2BWb6-AkPJcXDNrZ6PwjxQ==/com.android.msc-ICWncHsozQJw_R7Efr49Eg==/base.apk
11-09 01:42:13.365  1460  4154 W BackupTransportManager: Package com.android.msc enabled setting: 0
11-09 01:42:13.595  1460  2979 I ActivityManager: Background started FGS: Allowed [callingPackage: com.google.android.apps.wellbeing; callingUid: 10120; uidState: BFGS; intent: Intent { cmp=com.google.android.apps.wellbeing/com.google.apps.tiktok.concurrent.InternalForegroundService (has extras) }; code:BACKGROUND_ACTIVITY_PERMISSION; tempAllowListReason:<null>; targetSdkVersion:33; callerTargetSdkVersion:33; startForegroundCount:0; bindFromPackage:null]
11-09 01:42:13.628  1460  3758 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10238; state: DISABLED
11-09 01:42:13.805  1460  1460 I NotificationService: Cannot find enqueued record for key: 0|com.google.android.apps.wellbeing|174344743|null|10120
11-09 01:42:13.830  1460  2977 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:13.885  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #10
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #11
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.jr.narutoii at: Binary XML file line #13
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.jr.narutoii at: Binary XML file line #14
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #20
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #21
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.jr.narutoii at: Binary XML file line #22
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.jr.narutoii at: Binary XML file line #35
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #36
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.jr.narutoii at: Binary XML file line #37
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #38
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.jr.narutoii at: Binary XML file line #39
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.jr.narutoii at: Binary XML file line #48
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.jr.narutoii at: Binary XML file line #49
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.jr.narutoii at: Binary XML file line #50
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.jr.narutoii at: Binary XML file line #51
11-09 01:42:13.892  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.jr.narutoii at: Binary XML file line #55
11-09 01:42:13.893  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #142
11-09 01:42:13.907  1460  2024 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:13.909  1460  3248 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:13.912  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl203040331.tmp
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #10
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #11
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.jr.narutoii at: Binary XML file line #13
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.jr.narutoii at: Binary XML file line #14
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #20
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #21
11-09 01:42:13.922  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.jr.narutoii at: Binary XML file line #22
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.jr.narutoii at: Binary XML file line #35
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #36
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.jr.narutoii at: Binary XML file line #37
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #38
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.jr.narutoii at: Binary XML file line #39
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.jr.narutoii at: Binary XML file line #48
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.jr.narutoii at: Binary XML file line #49
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.jr.narutoii at: Binary XML file line #50
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.jr.narutoii at: Binary XML file line #51
11-09 01:42:13.923  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.jr.narutoii at: Binary XML file line #55
11-09 01:42:13.925  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #142
11-09 01:42:13.985  1460  1676 V StorageManagerService: Package null has legacy storage
11-09 01:42:14.109  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.jr.narutoii token=30 restoreSet=0
11-09 01:42:14.109  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:14.112  1460  1836 D PackageInstallerSession: Marking session 203040331 as applied
11-09 01:42:14.116  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10239; state: DISABLED
11-09 01:42:14.116  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10239; state: DISABLED
11-09 01:42:14.122  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10239; state: DISABLED
11-09 01:42:14.123  1460  2979 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 01:42:14.123  1460  2979 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.android.buyer/.mRve
11-09 01:42:14.128  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.jr.narutoii at: Binary XML file line #10
11-09 01:42:14.128  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.jr.narutoii at: Binary XML file line #11
