--------- beginning of system
10-30 23:01:45.893  1444  1686 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
10-30 23:01:46.001  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #38
10-30 23:01:46.001  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #39
10-30 23:01:46.001  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #40
10-30 23:01:46.001  1444  4241 W JobScheduler: Job didn't exist in JobStore: 606ef8b #u0a194/208 com.smartsecurityxzt/androidx.work.impl.background.systemjob.SystemJobService
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.uwz.ihrork at: Binary XML file line #41
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #42
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #43
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #44
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #45
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #46
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #47
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #48
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #49
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.uwz.ihrork at: Binary XML file line #51
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #52
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #53
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #54
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.uwz.ihrork at: Binary XML file line #55
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.GET_TASKS in package: com.uwz.ihrork at: Binary XML file line #56
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #57
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #58
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #60
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #61
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #62
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #63
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #64
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #67
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #68
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #69
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #70
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #71
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #72
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #74
10-30 23:01:46.002  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #75
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #76
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #77
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #78
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #79
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #82
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #83
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #84
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #85
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_CONFIGURATION in package: com.uwz.ihrork at: Binary XML file line #86
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #87
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #88
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #89
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #90
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uwz.ihrork at: Binary XML file line #91
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #92
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #93
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #94
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_APN_SETTINGS in package: com.uwz.ihrork at: Binary XML file line #95
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uwz.ihrork at: Binary XML file line #96
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SETTINGS in package: com.uwz.ihrork at: Binary XML file line #97
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.GET_TASKS in package: com.uwz.ihrork at: Binary XML file line #99
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uwz.ihrork at: Binary XML file line #100
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uwz.ihrork at: Binary XML file line #101
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #104
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #105
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #106
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: com.android.launcher.permission.INSTALL_SHORTCUT in package: com.uwz.ihrork at: Binary XML file line #107
10-30 23:01:46.003  1444  2047 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #108
10-30 23:01:46.025  1444  1833 I PackageManager: Integrity check passed for file:///data/app/vmdl388992819.tmp
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #16
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #33
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #35
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #36
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #37
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #38
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #39
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #40
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.uwz.ihrork at: Binary XML file line #41
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #42
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #43
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #44
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #45
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #46
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #47
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #48
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #49
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.uwz.ihrork at: Binary XML file line #51
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #52
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #53
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #54
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.uwz.ihrork at: Binary XML file line #55
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.GET_TASKS in package: com.uwz.ihrork at: Binary XML file line #56
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #57
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #58
10-30 23:01:46.056  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #60
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #61
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #62
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #63
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #64
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #67
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #68
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #69
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #70
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #71
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #72
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #74
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #75
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #76
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #77
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #78
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #79
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #82
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #83
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #84
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #85
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_CONFIGURATION in package: com.uwz.ihrork at: Binary XML file line #86
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #87
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #88
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #89
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #90
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uwz.ihrork at: Binary XML file line #91
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #92
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #93
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #94
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_APN_SETTINGS in package: com.uwz.ihrork at: Binary XML file line #95
10-30 23:01:46.057  1444  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uwz.ihrork at: Binary XML file line #96
